=== 模擬器啟動時間: 2026-05-30 15:56:38 ===
[2026-05-30 15:56:40] ============================================================
[2026-05-30 15:56:40] 🎯 iPhone GPS 模擬器 v17.0 - 模組化重構版 (完整版)
[2026-05-30 15:56:40] ============================================================
[2026-05-30 15:56:40] ✅ 修復：阻絕競態條件造成的橡皮筋拉回現象
[2026-05-30 15:56:40] 💡 請按 F12 打開瀏覽器控制台查看詳細日誌
[2026-05-30 15:56:40] ⚡ 開始自動連線流程 (等待 tunneld 就緒...)
[2026-05-30 15:56:41] 🧹 已清除占用 49151 端口的舊進程 (PID: 13396)
[2026-05-30 15:56:42] 🚀 啟動 tunneld...
[2026-05-30 15:56:42] 🌐 地圖已自動開啟
[2026-05-30 15:56:42] ✅ tunneld 已啟動
[2026-05-30 15:56:45] 🗖 地圖視窗已最大化
[2026-05-30 15:56:45] 📱 手勢循環已停止
[2026-05-30 15:56:49] 🧭 路線點: 117 個，途經點: 115 個
[2026-05-30 15:56:55] [tunneld] [32m2026-05-30 15:56:55[0m [35mHA1MIS-HNB0516[0m [34mpymobiledevice3.tunneld.server[20316][0m [1;30mINFO[0m [start-tunnel-task-usbmux-00008030-000E602401E8802E-USB] Created tunnel --rsd fd15:12bc:985e::1 62413
[2026-05-30 15:56:55] ✅ RSD: fd15:12bc:985e::1:62413
[2026-05-30 15:56:55] ⚡ tunneld 已就緒，準備進行下一步...
[2026-05-30 15:56:55] ℹ WiFi 模式略過 DDI 掛載，直接偵測 RSD
[2026-05-30 15:56:55] ℹ RSD 已填入: fd15:12bc:985e::1:62413
[2026-05-30 15:56:55] ✅ 自動連線與偵測全部完成！
[2026-05-30 15:57:02] 🧭 路線點: 118 個，途經點: 116 個
[2026-05-30 15:57:08] 🚀 準備從路線點 61 開始模擬...
[2026-05-30 15:57:12] 📏 總距離: 30810m
[2026-05-30 15:57:12] 🚀 開始模擬
[2026-05-30 16:03:09] [116] 1.251786,103.827716 35% 20.0km/h (65/117)
[2026-05-30 16:03:12] [117] 1.251728,103.827578 35% 20.0km/h (65/117)
[2026-05-30 16:03:15] [118] 1.251670,103.827439 36% 20.0km/h (65/117)
[2026-05-30 16:03:18] [119] 1.251611,103.827301 36% 20.0km/h (65/117)
[2026-05-30 16:03:21] [120] 1.251553,103.827163 36% 20.0km/h (65/117)
[2026-05-30 16:03:24] [121] 1.251495,103.827025 36% 20.0km/h (65/117)
[2026-05-30 16:03:27] [122] 1.251436,103.826887 36% 20.0km/h (65/117)
[2026-05-30 16:03:31] [123] 1.251378,103.826749 36% 20.0km/h (65/117)
[2026-05-30 16:03:34] [124] 1.251320,103.826611 36% 20.0km/h (65/117)
[2026-05-30 16:03:37] [125] 1.251261,103.826473 36% 20.0km/h (65/117)
[2026-05-30 16:03:40] [126] 1.251203,103.826335 36% 20.0km/h (65/117)
[2026-05-30 16:03:43] [127] 1.251145,103.826197 36% 20.0km/h (65/117)
[2026-05-30 16:03:46] [128] 1.251140,103.826187 36% 20.0km/h (65/117)
[2026-05-30 16:03:49] [129] 1.251048,103.826305 36% 20.0km/h (66/117)
[2026-05-30 16:03:52] [130] 1.250956,103.826423 36% 20.0km/h (66/117)
[2026-05-30 16:03:55] [131] 1.250864,103.826542 36% 20.0km/h (66/117)
[2026-05-30 16:03:58] [132] 1.250772,103.826660 36% 20.0km/h (66/117)
[2026-05-30 16:04:01] [133] 1.250680,103.826778 36% 20.0km/h (66/117)
[2026-05-30 16:04:05] [134] 1.250588,103.826897 36% 20.0km/h (66/117)
[2026-05-30 16:04:08] [135] 1.250496,103.827015 36% 20.0km/h (66/117)
[2026-05-30 16:04:11] [136] 1.250404,103.827133 36% 20.0km/h (66/117)
[2026-05-30 16:04:14] [137] 1.250312,103.827251 36% 20.0km/h (66/117)
[2026-05-30 16:04:17] [138] 1.250220,103.827370 37% 20.0km/h (66/117)
[2026-05-30 16:04:20] [139] 1.250128,103.827488 37% 20.0km/h (66/117)
[2026-05-30 16:04:23] [140] 1.250036,103.827606 37% 20.0km/h (66/117)
[2026-05-30 16:04:26] [141] 1.249943,103.827725 37% 20.0km/h (66/117)
[2026-05-30 16:04:29] [142] 1.249851,103.827843 37% 20.0km/h (66/117)
[2026-05-30 16:04:32] [143] 1.249759,103.827961 37% 20.0km/h (66/117)
[2026-05-30 16:04:35] [144] 1.249667,103.828080 37% 20.0km/h (66/117)
[2026-05-30 16:04:38] [145] 1.249575,103.828198 37% 20.0km/h (66/117)
[2026-05-30 16:04:42] [146] 1.249483,103.828316 37% 20.0km/h (66/117)
[2026-05-30 16:04:45] [147] 1.249391,103.828434 37% 20.0km/h (66/117)
[2026-05-30 16:04:48] [148] 1.249299,103.828553 37% 20.0km/h (66/117)
[2026-05-30 16:04:51] [149] 1.249207,103.828671 37% 20.0km/h (66/117)
[2026-05-30 16:04:54] [150] 1.249115,103.828789 37% 20.0km/h (66/117)
[2026-05-30 16:04:57] [151] 1.249023,103.828908 37% 20.0km/h (66/117)
[2026-05-30 16:05:00] [152] 1.248931,103.829026 37% 20.0km/h (66/117)
[2026-05-30 16:05:03] [153] 1.248839,103.829144 37% 20.0km/h (66/117)
[2026-05-30 16:05:06] [154] 1.248747,103.829263 37% 20.0km/h (66/117)
[2026-05-30 16:05:09] [155] 1.248655,103.829381 37% 20.0km/h (66/117)
[2026-05-30 16:05:12] [156] 1.248562,103.829499 38% 20.0km/h (66/117)
[2026-05-30 16:05:15] [157] 1.248470,103.829618 38% 20.0km/h (66/117)
[2026-05-30 16:05:18] [158] 1.248378,103.829736 38% 20.0km/h (66/117)
[2026-05-30 16:05:22] [159] 1.248286,103.829854 38% 20.0km/h (66/117)
[2026-05-30 16:05:25] [160] 1.248194,103.829972 38% 20.0km/h (66/117)
[2026-05-30 16:05:28] [161] 1.248102,103.830091 38% 20.0km/h (66/117)
[2026-05-30 16:05:31] [162] 1.248051,103.830156 38% 20.0km/h (66/117)
[2026-05-30 16:05:34] [163] 1.248020,103.830303 38% 20.0km/h (67/117)
[2026-05-30 16:05:37] [164] 1.247989,103.830450 38% 20.0km/h (67/117)
[2026-05-30 16:05:40] [165] 1.247958,103.830596 38% 20.0km/h (67/117)
[2026-05-30 16:05:43] [166] 1.247927,103.830743 38% 20.0km/h (67/117)
[2026-05-30 16:05:46] [167] 1.247896,103.830890 38% 20.0km/h (67/117)
[2026-05-30 16:05:49] [168] 1.247865,103.831036 38% 20.0km/h (67/117)
[2026-05-30 16:05:52] [169] 1.247835,103.831183 38% 20.0km/h (67/117)
[2026-05-30 16:05:56] [170] 1.247804,103.831330 38% 20.0km/h (67/117)
[2026-05-30 16:05:59] [171] 1.247773,103.831477 38% 20.0km/h (67/117)
[2026-05-30 16:06:02] [172] 1.247742,103.831623 38% 20.0km/h (67/117)
[2026-05-30 16:06:05] [173] 1.247711,103.831770 38% 20.0km/h (67/117)
[2026-05-30 16:06:08] [174] 1.247680,103.831917 38% 20.0km/h (67/117)
[2026-05-30 16:06:11] [175] 1.247649,103.832063 39% 20.0km/h (67/117)
[2026-05-30 16:06:14] [176] 1.247618,103.832210 39% 20.0km/h (67/117)
[2026-05-30 16:06:17] [177] 1.247587,103.832357 39% 20.0km/h (67/117)
[2026-05-30 16:06:20] [178] 1.247556,103.832503 39% 20.0km/h (67/117)
[2026-05-30 16:06:23] [179] 1.247525,103.832650 39% 20.0km/h (67/117)
[2026-05-30 16:06:26] [180] 1.247494,103.832797 39% 20.0km/h (67/117)
[2026-05-30 16:06:29] [181] 1.247463,103.832943 39% 20.0km/h (67/117)
[2026-05-30 16:06:32] [182] 1.247432,103.833090 39% 20.0km/h (67/117)
[2026-05-30 16:06:35] [183] 1.247401,103.833237 39% 20.0km/h (67/117)
[2026-05-30 16:06:39] [184] 1.247370,103.833384 39% 20.0km/h (67/117)
[2026-05-30 16:06:42] [185] 1.247339,103.833530 39% 20.0km/h (67/117)
[2026-05-30 16:06:45] [186] 1.247308,103.833677 39% 20.0km/h (67/117)
[2026-05-30 16:06:48] [187] 1.247278,103.833824 39% 20.0km/h (67/117)
[2026-05-30 16:06:51] [188] 1.247247,103.833970 39% 20.0km/h (67/117)
[2026-05-30 16:06:54] [189] 1.247216,103.834117 39% 20.0km/h (67/117)
[2026-05-30 16:06:57] [190] 1.247185,103.834264 39% 20.0km/h (67/117)
[2026-05-30 16:07:01] [191] 1.247154,103.834410 39% 20.0km/h (67/117)
[2026-05-30 16:07:04] [192] 1.247123,103.834557 39% 20.0km/h (67/117)
[2026-05-30 16:07:07] [193] 1.247092,103.834704 39% 20.0km/h (67/117)
[2026-05-30 16:07:10] [194] 1.247061,103.834850 40% 20.0km/h (67/117)
[2026-05-30 16:07:13] [195] 1.247030,103.834997 40% 20.0km/h (67/117)
[2026-05-30 16:07:16] [196] 1.246999,103.835144 40% 20.0km/h (67/117)
[2026-05-30 16:07:19] [197] 1.246968,103.835291 40% 20.0km/h (67/117)
[2026-05-30 16:07:22] [198] 1.246937,103.835437 40% 20.0km/h (67/117)
[2026-05-30 16:07:25] [199] 1.246906,103.835584 40% 20.0km/h (67/117)
[2026-05-30 16:07:28] [200] 1.246875,103.835731 40% 20.0km/h (67/117)
[2026-05-30 16:07:31] [201] 1.246844,103.835877 40% 20.0km/h (67/117)
[2026-05-30 16:07:34] [202] 1.246813,103.836024 40% 20.0km/h (67/117)
[2026-05-30 16:07:37] [203] 1.246782,103.836171 40% 20.0km/h (67/117)
[2026-05-30 16:07:41] [204] 1.246751,103.836317 40% 20.0km/h (67/117)
[2026-05-30 16:07:44] [205] 1.246720,103.836464 40% 20.0km/h (67/117)
[2026-05-30 16:07:47] [206] 1.246690,103.836611 40% 20.0km/h (67/117)
[2026-05-30 16:07:50] [207] 1.246659,103.836757 40% 20.0km/h (67/117)
[2026-05-30 16:07:53] [208] 1.246628,103.836904 40% 20.0km/h (67/117)
[2026-05-30 16:07:56] [209] 1.246597,103.837051 40% 20.0km/h (67/117)
[2026-05-30 16:07:59] [210] 1.246571,103.837173 40% 20.0km/h (67/117)
[2026-05-30 16:08:02] [211] 1.246680,103.837276 40% 20.0km/h (68/117)
[2026-05-30 16:08:05] [212] 1.246789,103.837379 41% 20.0km/h (68/117)
[2026-05-30 16:08:08] [213] 1.246898,103.837482 41% 20.0km/h (68/117)
[2026-05-30 16:08:11] [214] 1.247007,103.837585 41% 20.0km/h (68/117)
[2026-05-30 16:08:14] [215] 1.247116,103.837688 41% 20.0km/h (68/117)
[2026-05-30 16:08:17] [216] 1.247225,103.837791 41% 20.0km/h (68/117)
[2026-05-30 16:08:21] [217] 1.247334,103.837894 41% 20.0km/h (68/117)
[2026-05-30 16:08:24] [218] 1.247343,103.837903 41% 20.0km/h (68/117)
[2026-05-30 16:08:27] [219] 1.247397,103.838042 41% 20.0km/h (69/117)
[2026-05-30 16:08:30] [220] 1.247452,103.838182 41% 20.0km/h (69/117)
[2026-05-30 16:08:33] [221] 1.247506,103.838322 41% 20.0km/h (69/117)
[2026-05-30 16:08:36] [222] 1.247560,103.838462 41% 20.0km/h (69/117)
[2026-05-30 16:08:39] [223] 1.247614,103.838601 41% 20.0km/h (69/117)
[2026-05-30 16:08:42] [224] 1.247668,103.838741 41% 20.0km/h (69/117)
[2026-05-30 16:08:45] [225] 1.247723,103.838881 41% 20.0km/h (69/117)
[2026-05-30 16:08:48] [226] 1.247777,103.839021 41% 20.0km/h (69/117)
[2026-05-30 16:08:51] [227] 1.247831,103.839161 41% 20.0km/h (69/117)
[2026-05-30 16:08:54] [228] 1.247885,103.839300 41% 20.0km/h (69/117)
[2026-05-30 16:08:57] [229] 1.247940,103.839440 41% 20.0km/h (69/117)
[2026-05-30 16:09:01] [230] 1.247994,103.839580 41% 20.0km/h (69/117)
[2026-05-30 16:09:04] [231] 1.248048,103.839720 41% 20.0km/h (69/117)
[2026-05-30 16:09:07] [232] 1.248102,103.839859 42% 20.0km/h (69/117)
[2026-05-30 16:09:10] [233] 1.248156,103.839999 42% 20.0km/h (69/117)
[2026-05-30 16:09:13] [234] 1.248211,103.840139 42% 20.0km/h (69/117)
[2026-05-30 16:09:16] [235] 1.248265,103.840279 42% 20.0km/h (69/117)
[2026-05-30 16:09:19] [236] 1.248309,103.840392 42% 20.0km/h (69/117)
